7th_yReal,7th_yArima,7th_yHolt,7th_yEnsembled
179,298.73862991170427,298.73862991170427,298.73862991170427
385,532.547335632203,532.547335632203,532.547335632203
1355,2086.2325108312684,2086.2325108312684,2086.2325108312684
333,566.717003543293,566.717003543293,566.717003543293
6,6.0,6.0,6.0
10,12.986107220539425,12.986107220539425,12.986107220539425
919,1256.2981077263712,1256.2981077263712,1256.2981077263712
659,871.4552448434488,871.4552448434488,871.4552448434488
88,88.0,88.0,88.0
1379,1379.0,1379.0,1379.0
9,9.0,9.0,9.0
738,738.0,738.0,738.0
331,331.0,331.0,331.0
67,67.0,67.0,67.0
1172,1172.0,1172.0,1172.0
340,340.0,340.0,340.0
11694,14466.260790089345,14466.260790089345,14466.260790089345
948,1319.6937041171745,1319.6937041171745,1319.6937041171745
14,19.15285035495935,19.15285035495935,19.15285035495935
1082,1469.816342359661,1469.816342359661,1469.816342359661
108,181.46939190904922,181.46939190904922,181.46939190904922
30,56.063101420864605,56.063101420864605,56.063101420864605
938,2937.633080980307,2937.633080980307,2937.633080980307
9800,12359.214044166873,12359.214044166873,12359.214044166873
5,13.457947137820238,13.457947137820238,13.457947137820238
27,27.0,27.0,27.0
3,4.322737973362649,4.322737973362649,4.322737973362649
44,64.93771625637804,64.93771625637804,64.93771625637804
485,785.9322368167647,785.9322368167647,785.9322368167647
26573,40902.55955201929,40902.55955201929,40902.55955201929
119,130.75692746220048,130.75692746220048,130.75692746220048
190,317.9999999992447,317.9999999992447,317.9999999992447
410,582.5726081756094,582.5726081756094,582.5726081756094
1,1.0,1.0,1.0
110,110.0,110.0,110.0
668,2167.657296303841,2167.657296303841,2167.657296303841
14761,21043.69782791969,21043.69782791969,21043.69782791969
10,10.0,10.0,10.0
8,8.0,8.0,8.0
5804,9324.955870971344,9324.955870971344,9324.955870971344
984,984.0,984.0,984.0
524,559.046241042176,559.046241042176,559.046241042176
573,589.9697974164284,589.9697974164284,589.9697974164284
346,367.74005099260324,367.74005099260324,367.74005099260324
137,137.0,137.0,137.0
1528,1663.9999999998493,1663.9999999998493,1663.9999999998493
252,252.0,252.0,252.0
145,145.0,145.0,145.0
162,162.0,162.0,162.0
317,317.0,317.0,317.0
485,512.892249808111,512.892249808111,512.892249808111
1254,1254.0,1254.0,1254.0
699,900.5808000747778,900.5808000747778,900.5808000747778
63569,64213.28563173944,64213.28563173944,64213.28563173944
1015,1015.0,1015.0,1015.0
108,108.0,108.0,108.0
646,657.4048603497416,657.4048603497416,657.4048603497416
936,936.0,936.0,936.0
99,104.15104862488916,104.15104862488916,104.15104862488916
143,143.0,143.0,143.0
