,day1,day2,day3
100,99.8579946839219,113.23767240051598,127.51217284414146
101,39.70124446883369,40.22002822940385,40.70842249771859
102,1600.625672277777,1636.0503065351088,1671.0608967128796
103,23.772408907549814,25.950062119587045,28.27193013633231
104,114.30029835021323,120.39846606111047,126.67467862780907
105,18.44603415679482,18.71309653602583,18.966443690932568
106,3967.1125666491444,4106.957317608313,4247.7439153409705
107,99.93528656135653,101.4786225683966,102.9303573571657
108,58.68432707803141,59.29109585125174,59.85959479086255
109,162.29737666073987,163.7352490411844,165.08112776517643
110,260.8547026467937,266.10297386995614,271.0510849620185
111,20.981700423192322,21.167470220707294,21.341414791162016
112,449.4023035885546,455.1336097711276,460.5061839683032
113,6.605771258616577,6.645466075917788,6.682641992725205
114,39.11132031108763,39.698550135411374,40.25018087288403
115,178.78126775248504,180.58884209596687,182.28177198259888
116,168317.5875863326,176617.4619925596,185172.8143205388
117,119.7071641556434,125.38820953246774,130.98247557386847
118,10.802198509395899,11.345004683968925,11.908423070965974
119,428.82739085894667,453.3240328684366,478.5146293260604
120,151479.90162398815,154474.3921849661,157413.2305421992
121,1285.410076826127,1582.8249619313024,1922.0650434202505
122,2353.2609769410274,2380.07860053497,2405.2721252820365
123,269.4018641577734,287.6270628632947,306.250499559034
124,614.9692204541102,658.317478312992,700.8026426735997
125,68.12703346469306,70.89574541518144,73.6228389900197
126,48.50312950133475,50.138938064335626,51.75434261121995
127,8.991804935644197,9.08155348619019,9.165568607685309
128,473.77597989359043,482.32001576828856,490.37209922621605
129,2029.1576028614247,2117.9955178144696,2205.9878751547144
130,1793.6563105549144,1798.6670901958812,1802.6182402951147
131,19648.620786244846,21855.206494853268,24122.907496246604
132,7434.62724148934,8583.514791885122,9989.670695206441
133,85207.6543732702,86728.56419271394,88197.41953383424
134,1601.093129604775,1628.5392426382064,1654.4473206657312
135,16840.570647778608,17895.836404928283,18972.356395792853
136,13749.719171933566,13992.600665422038,14222.878367169727
137,180315.90409059366,182906.42377318267,185403.02271607317
138,196.75503250541846,218.1477479026802,241.1094961832393
139,12220.04823513381,13287.808765746522,14448.419422129644
140,424.8942346275692,428.6298918352311,432.1296519303131
141,1831.3743187610185,1948.8870741935546,2069.2622324407157
142,270.29868629425766,276.51686103117225,282.3806326947967
143,10853.0338260975,10874.543403975431,10894.695420096425
144,2016.7537410082302,2137.7976059924326,2261.1750572511664
145,560.6125273079847,580.4216654453751,599.3292742468687
146,728.0824777161108,738.5654159508733,748.848478236694
147,687.9506652898338,694.0378701163673,699.7557861069685
148,99.55006588569155,109.40021178513422,118.25941874844719
149,80.32780281542303,80.4963040429628,80.66009076862795
150,1267.2613578112837,1290.250554010383,1312.0458243114047
151,3542.8474187374086,3556.9746827288664,3567.630658957329
152,126.68608156612012,128.96619606502676,131.11051190269276
153,5584.213908662704,5687.46799425939,5787.707411371549
154,38.24384944332067,40.69244393522229,43.28333763878943
155,461.06589805106336,472.4682812911145,483.427472128385
156,7.775368867733437,7.853117542885189,7.925959456535958
157,337.3221925796426,338.3228660147222,339.2962306033198
158,7896.103673085617,8443.868214507747,9012.231611488814
159,2596.0726705701363,2707.4928622621337,2817.6996632977634
160,98.73375141911357,99.6371234196734,100.53489922942822
161,38.19606237850751,47.12709609472736,57.89681515258197
162,313.31742535664006,315.7106473273989,317.6710892276641
163,3106.9910421088175,3341.10624795148,3585.293091247528
164,18.273832337895602,18.461106398752502,18.636473884444484
165,36.42134860598128,41.94177249791147,48.40305762580801
166,104.46736710683327,105.99658981772787,107.43186390140733
167,15.598743552591397,15.757644447907243,15.906530269920133
168,68.44248212554812,70.46684769278977,72.3846828528642
169,33617.83861518351,34663.73663965982,35707.39248742836
170,1429.4010142402303,1433.607529039205,1437.6935724015264
171,9.970044446168849,10.1667073308404,10.354812627140094
172,651.3396995740337,658.5212647605742,665.6562915341054
173,598.4216490995576,635.9349101911077,675.2642247184189
174,1294.6759815462976,1364.3282508923992,1436.427330100451
175,7161.810052360664,7213.0393749382265,7259.960831730471
176,1415.6905717565742,1545.887101993364,1684.673270354524
177,9067.622310966899,9895.916100610872,10785.876111682666
178,4493.784497557926,4650.621262449952,4801.740107309221
179,8.499164361269608,9.848800221367714,11.427326908863188
180,220.02930747012087,231.07628659829302,242.31243375439408
181,16425.845724770017,17312.28539644808,18157.82803452344
182,6231.36925340475,6371.218636003954,6504.2826419433395
183,9375.325276745009,9700.366860793045,10020.830529764282
184,20792.86909772663,21289.203187251103,21770.485159267653
185,5872.731457380387,6385.677657849284,6939.662548326944
186,9122.543226625894,9486.307810684792,9849.577896481102
187,46969.789039542185,52273.90696415734,57843.64283665399
188,146.90335814201032,148.8961002474096,150.77688427860485
189,18.452725382864944,18.984077901372217,19.51778001385909
190,12.868595863972324,12.977594297655946,13.083211688721159
191,452.2111610117166,464.25948630165396,476.4245903687284
192,9855.757660804438,10806.473938454908,11827.21423027644
193,359.4809468219891,367.4811232054602,375.33495795195006
194,6884.36565587629,7361.0595177388,7859.497553749669
195,11.141905050868175,11.16711616831107,11.191830374859425
196,6730.591513369921,7437.280380187682,8210.504820794196
197,1235.8996506846865,1312.765630412444,1392.5300170956455
198,1335.472054310511,1345.140927850629,1353.2686490518
199,333.558456008829,609.46828022636,978.364845809565
200,3001.2652216310507,3085.417210007519,3168.821607299624
201,198157.9306205841,201199.016448792,204096.837910883
202,260.3931053151832,265.51114893783364,270.5358127875267
203,71.62246985372836,83.2285891432832,96.81168656969123
204,10.676002381461904,10.723494210848301,10.767943203155701
205,14922.348010037558,15483.94639467466,16041.428250098199
206,28266.311775364116,28567.95385040524,28852.835700279935
207,434.9016208699906,438.4697678166523,441.8206510906593
208,187.9025027113707,219.42731183891843,256.33319439541407
209,2878.7751065301377,2911.2085374830344,2941.6402720540173
210,90.01361078549724,91.56387525650219,93.02073221738512
211,115.25883738483213,115.7058075458815,116.14291961035549
212,883.8699444594795,901.9330300640781,919.5661864622681
213,90297.30539833901,94337.15872735946,98337.28783854924
214,63.89585713444569,64.72069815547732,65.4945231351602
215,5900.15691879556,6365.204197977265,6846.808718276003
216,7139.772939593806,7456.889510180525,7757.0107570499085
217,92.36367508699726,97.24646904153141,102.29586603307112
218,65.92420443966309,67.4264663059555,68.84393614901423
219,523.0920831625472,533.9595298441856,544.1905702939991
220,148.32593439904718,150.43838770414098,152.4212759600178
