,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20
0,833.8908024,891.3512184,947.956111,1003.613066,1058.254422,1111.821644,1164.259603
1,507.2237234,520.4289754,533.2966589,545.8228745,558.004647,570.0522099,582.1204404
2,2176.270717,2235.35053,2291.372949,2344.414051,2394.562765,2441.917557,2486.583673
3,685.088276,697.2619502,708.749241,719.5730023,729.7553857,739.317853,748.2811902
4,22.33553686,23.02005197,23.66937933,24.28434918,24.86595205,25.41529808,25.93358304
5,24.77872596,25.48221434,26.13512682,26.73592891,27.28339742,27.77660051,28.21487783
6,2454.159644,2531.739541,2606.917167,2679.714286,2750.161008,2818.294241,2884.156363
7,1114.818226,1133.818412,1150.851984,1165.983575,1179.283385,1190.825514,1200.686533
8,117.7301563,119.5246543,121.2095324,122.7905229,124.2732103,125.6630072,126.9651367
9,3081.336414,3121.335325,3159.05576,3194.594103,3228.048141,3259.515872,3289.094552
10,32.57073816,33.18712508,33.76737516,34.31316,34.8261468,35.30798337,35.76028624
11,1064.285059,1076.858103,1088.656072,1099.719779,1110.088982,1119.802211,1128.896643
12,490.044609,496.968753,503.4561228,509.5307517,515.2159002,520.5339827,525.5065172
13,170.2685106,179.4368866,188.926719,198.7472345,208.907848,219.4181507,230.2878981
14,1388.853287,1408.291162,1426.59787,1443.826335,1460.029076,1475.257797,1489.563065
15,557.4467418,565.1303288,572.3396766,579.099391,585.4335431,591.3655407,596.9180324
16,14697.2867,14879.44442,15052.4052,15216.34747,15371.49858,15518.12329,15656.51408
17,1309.670682,1361.296259,1412.442343,1462.993722,1512.855288,1561.949259,1610.212759
18,51.7492443,52.89088813,53.86635467,54.67655829,55.32357854,55.81048118,56.16701155
19,1533.580413,1627.328923,1726.215,1830.498345,1940.450122,2056.353248,2178.502704
20,2422.139516,4167.2871,6199.505897,8432.736051,10830.9274,13378.42907,16068.31982
21,75.29372045,75.93368729,76.3564684,76.5727203,76.72943324,76.884196,77.03617688
22,4032.852984,4381.729866,4718.559388,5042.8341,5354.356663,5653.131604,5939.293347
23,34482.12981,35809.44397,37129.80365,38442.99463,39748.81543,41047.0747,42337.58953
24,40.4443522,41.96461166,43.41281972,44.78950337,46.09575937,47.33313404,48.50352131
25,5.646991346,5.716694611,5.782121947,5.843503594,5.901062369,5.955013022,6.005561809
26,455.0297486,527.8997849,610.0502229,700.7555585,799.9186407,907.6709761,1024.226419
27,1159.700501,1199.872313,1239.05665,1277.257371,1314.4814,1350.738018,1386.038298
28,28893.55442,30474.62195,32041.25705,33593.4413,35131.16811,36654.43804,38163.25643
29,137.4647403,137.6560038,137.8413314,138.0206914,138.1940927,138.3615777,138.5232156
30,746.9494054,762.7933445,777.9985645,792.5837056,806.567919,819.9706634,832.8115351
31,553.3552662,568.5466768,583.2561655,597.491475,611.2614042,624.5755859,637.4442971
32,53.66327525,72.14634502,94.31371577,120.6487612,151.6907574,188.025564,230.2776005
33,135.6785404,136.9463236,138.1325876,139.2422023,140.2798027,141.2497913,142.1563418
34,888.6764298,905.7401156,921.9505793,937.3210053,951.8700629,965.6206465,978.5988203
35,1897.927875,1960.134013,2021.655955,2082.468276,2142.549078,2201.879584,2260.443776
36,1536.463705,1556.139298,1574.554937,1591.781229,1607.886398,1622.936076,1636.993183
37,15.2434081,15.35109362,15.45183128,15.54604729,15.63414498,15.71650555,15.7934888
38,281.2991087,288.4946012,295.287795,301.6935793,307.7276021,313.40597,318.7450021
39,130.0754423,132.590092,134.9567461,137.1822842,139.2735647,141.2373634,143.0803251
40,280.5228289,286.1204065,291.387803,296.3402442,300.99295,305.3609893,309.4591644
41,578.6733973,613.8269579,649.9474507,687.0383905,725.1032106,764.1450881,804.1667855
42,8707.161055,9084.48772,9448.940529,9800.330418,10138.5881,10463.74392,10775.9104
43,29.34074156,29.91816008,30.46200836,30.97379638,31.45503878,31.90723953,32.33187971
44,15850.59941,16588.87576,17316.20201,18030.52991,18729.84444,19412.17059,20075.58067
45,328.9488682,335.3265089,341.3251872,346.9627476,352.256956,357.2253443,361.8850871
46,12.05431488,12.70258128,13.37607283,14.07570567,14.80242816,15.55722121,16.34109884
47,26.52395609,29.55451927,32.9300408,36.68948007,40.87645174,45.54155081,50.74406854
48,8802.701324,9238.776126,9680.64732,10128.06112,10580.75247,11038.44546,11500.85378
49,1165.311823,1167.452594,1169.455758,1171.330053,1173.083674,1174.724309,1176.259166
50,603.9483974,604.8568726,605.7068176,606.5019663,607.2458191,607.9416571,608.592555
51,675.3080285,676.3588825,677.3420575,678.2618678,679.1223584,679.9273213,680.6803102
52,373.2554582,373.7407137,374.1946621,374.6193064,375.0165235,375.388072,375.7355994
53,144.5959756,144.73714,144.869177,144.9926733,145.1081781,145.2162058,145.3172379
54,1714.753708,1718.298044,1721.614919,1724.718726,1727.622976,1730.340344,1732.882722
55,293.0471885,293.401279,293.7325106,294.0423476,294.3321618,294.6032386,294.8567818
56,168.1545411,168.3263483,168.4870504,168.6373604,168.7779463,168.9094336,169.0324083
57,193.724028,193.9305958,194.1238156,194.304544,194.4735834,194.6316855,194.779554
58,372.4181705,372.9020084,373.3546305,373.778034,374.1740902,374.5445527,374.8910643
59,614.8486094,615.7785182,616.6485194,617.4624343,618.2238452,618.9361101,619.6023761
60,1504.389486,1507.37712,1510.17291,1512.789011,1515.23683,1517.527066,1519.669756
61,1101.075625,1117.129321,1132.261263,1146.515545,1159.935444,1172.563211,1184.439905
62,84744.7188,85338.46999,85895.47399,86417.87663,86907.7159,87366.92483,87797.33485
63,1198.789343,1201.010712,1203.08931,1205.034199,1206.853881,1208.556332,1210.149028
64,138.5244515,139.6722434,140.8037218,141.9191175,143.0186581,144.1025682,145.1710691
65,749.6150816,750.8191521,751.9457027,752.9996712,753.9856883,754.9080948,755.7709598
66,1100.906006,1102.893723,1104.753645,1106.493888,1108.122067,1109.645324,1111.070355
67,108.850784,108.9483396,109.0395841,109.1249235,109.204738,109.2793836,109.3491934
68,151.0170617,151.1664385,151.3061577,151.43684,151.5590663,151.673381,151.7802935
69,49.37283556,49.84401328,50.28707357,50.70351742,51.09479065,51.462282,51.80732207
70,84.79433529,84.86482894,84.93076027,84.99242302,85.05009223,85.10402537,85.15446347
71,20.31980247,20.33080883,20.34110152,20.35072666,20.35972741,20.36814417,20.37601472
72,289.6433654,289.992109,290.3183383,290.6234955,290.9089319,291.1759134,291.4256259
73,901.6123395,903.1441891,904.5774788,905.9184787,907.1730692,908.3467644,909.4447333
74,523.6693718,524.5608198,525.3985507,526.1857731,526.9255075,527.620597,528.2737173
75,161.7421009,161.9054301,162.0582013,162.2010925,162.3347389,162.4597354,162.576639
76,639.3642689,640.3427998,641.2582985,642.1147845,642.9160262,643.6655561,644.3666849
77,177.2339121,177.4178912,177.5899795,177.7509407,177.9014896,178.0422961,178.1739873
78,1.082047157,1.082327926,1.082590381,1.082835713,1.08306504,1.083279404,1.08347978
79,86.53961578,86.61200257,86.67970468,86.74302371,86.80224204,86.85762405,86.90941722
80,205.7242888,205.9476683,206.1566152,206.3520557,206.5348571,206.705832,206.8657412
81,1467.220434,1470.112078,1472.818023,1475.350036,1477.719161,1479.935757,1482.009539
82,3380.728432,3564.112689,3750.76664,3940.728512,4134.036467,4330.728575,4530.842778
83,145.2141756,194.2600681,251.7826581,317.810409,392.6928106,476.9099104,571.0023541
84,256.3429011,263.2057514,269.7189867,275.8918489,281.7348456,287.2594128,292.4776334
85,644.2489399,658.291975,671.855526,684.9487664,697.581784,709.7653755,721.5108721
86,711.7516627,751.1508681,789.7837095,827.5132954,864.2268128,899.8339918,934.2652547
87,1795.405707,1845.280634,1894.194448,1942.158076,1989.182396,2035.278223,2080.456307
88,281.8109182,281.8509295,281.8864581,281.917947,281.9457957,281.970364,281.9919763
89,858.3244408,902.217992,944.4804689,985.0975621,1024.056284,1061.344671,1097.753076
90,749.7066631,776.0693918,801.9578025,827.3707284,852.3087686,876.7738898,900.7691107
