,day1,day2,day3,day4,day5,day6,day7
314,8.437599055392427,8.44378694490137,8.449564066180104,8.454957589771658,8.459992902236314,8.464693721603357,8.469082205697353
315,6.4371856279915045,6.440116928921974,6.442856659057058,6.4454173131196795,6.447810574671888,6.450047366887023,6.452137903540286
316,1.1076850024503788,1.1086667508768469,1.1095828383309294,1.110437640973569,1.1112352455197336,1.1119794680657007,1.1126738716638487
317,2.180480933719043,2.181380475429944,2.1822206240814657,2.183005294326007,2.1837381444250044,2.1844225918050544,2.18506182947043
318,8.53412732330775,8.540989346959869,8.547396035070085,8.553377501305565,8.558961881920249,8.564175463508041,8.569042802958926
319,2.182720310090786,2.183767402948295,2.184745068415947,2.1856579014752278,2.1865101941645246,2.1873059553505123,2.1880489293957948
320,2.1445667027496795,2.145567589953924,2.146502116989713,2.147374675651146,2.14818936829706,2.148950026625285,2.149660229392618
321,6.236967225819419,6.2401957553874805,6.243212133703215,6.246030271629198,6.248663172390543,6.251122989410151,6.253421082173656
322,6.446747802147781,6.450404601029724,6.453819955518991,6.457009769265638,6.45998890341034,6.46277124450561,6.4653697678262425
323,13.987875991943904,13.994838195941387,14.00134868892344,14.007436696389481,14.013129564790738,14.01845288090486,14.023430581419845
324,23.661895267103116,23.676724993193698,23.69059237263777,23.703559668216904,23.715685139706196,23.727023296719956,23.737625139189745
325,4.2537916667596525,4.2627536378531055,4.271160445701728,4.2790446917843825,4.286437275990054,4.293367459038753,4.299862927070484
326,3746.9877208447588,3756.8307893020565,3766.044658376831,3774.668817175776,3782.740372797096,3790.2941810349935,3797.362971857142
327,4.359168830196559,4.361641120545274,4.363949739622657,4.3661054984954575,4.368118497330812,4.369998172010238,4.371753337244559
328,1.1335623865220135,1.1360256768926174,1.1383252748188921,1.1404719382816642,1.1424757353715291,1.1443460861505335,1.1460918022358797
329,0.13633439163539937,0.13812346860986563,0.13983762771188676,0.1414796054083011,0.14305209847966813,0.14455775421720132,0.14599916266835364
330,1.0913941181520264,1.0918779912893182,1.092329680013894,1.0927513215779205,1.0931449118075167,1.0935123143532706,1.0938552694292412
331,1.0876528876955034,1.0880505204766482,1.088421813874674,1.0887685102488993,1.0890922370902738,1.0893945144485602,1.0896767620345422
332,2.1773926858317854,2.197160344176115,2.2167400588171624,2.2361336136640517,2.255342776179914,2.2743692973383456,2.2932149117884344
333,0.13633439163539937,0.13812346860986563,0.13983762771188676,0.1414796054083011,0.14305209847966813,0.14455775421720132,0.14599916266835364
334,0.13633439163539937,0.13812346860986563,0.13983762771188676,0.1414796054083011,0.14305209847966813,0.14455775421720132,0.14599916266835364
335,0.13633439163539937,0.13812346860986563,0.13983762771188676,0.1414796054083011,0.14305209847966813,0.14455775421720132,0.14599916266835364
336,3.2809601915361584,3.2919528714416693,3.302234461131558,3.31184969648592,3.320840677766057,3.3292469988281,3.337105874089488
337,7.372300396397602,7.378559258714682,7.384402172176975,7.389856683285724,7.394948528007597,7.399701748448618,7.404138803263036
